,PlatformWorkedWith,Windows,iOS,AWS,Docker,Linux,MacOS,Android,WordPress,Raspberry Pi,Heroku,Google Cloud Platform,Kubernetes,Arduino,Slack Apps and Integrations,Microsoft Azure,IBM Cloud or Watson
65,Linux,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
66,Docker;Google Cloud Platform;Heroku;Kubernetes;Raspberry Pi,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0
67,Arduino;Docker;Google Cloud Platform;Linux;Raspberry Pi;Windows,1,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0
68,Linux;Microsoft Azure,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
69,Windows,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,Android;Docker;Linux;Raspberry Pi;Windows;WordPress,1,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0
71,MacOS,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
72,Docker;Kubernetes;Linux,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0
73,Android;AWS;Docker;Linux;MacOS;Microsoft Azure;Raspberry Pi;Windows,1,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0
74,AWS;Docker;Heroku;Kubernetes;WordPress,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,0
75,Android;Docker;Linux;MacOS;Windows,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0
76,Docker;Linux;MacOS;Raspberry Pi;Windows,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0
77,Windows,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,Docker;Windows,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
79,Docker;Linux;Microsoft Azure;Windows,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
80,Docker;Linux;Windows,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
81,Windows,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,Linux,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
83,Android;Arduino;Linux;Raspberry Pi;Windows,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0
84,Docker;iOS;Linux;MacOS;Raspberry Pi;Windows,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0
85,AWS;Docker;Google Cloud Platform;Linux;MacOS;Raspberry Pi,0,0,1,1,1,1,0,0,1,0,1,0,0,0,0,0
86,Linux;Windows,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
87,Android;Docker;MacOS;Windows,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
88,Docker;Microsoft Azure;Windows;WordPress,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
89,Android;iOS;Linux;MacOS;Windows,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0
90,AWS;Docker;Linux;Raspberry Pi;Slack Apps and Integrations,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0
91,Arduino;iOS;Linux;Windows,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
92,AWS;Docker;Linux;Raspberry Pi;Slack Apps and Integrations,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0
93,AWS,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
94,Docker;Kubernetes;Linux;MacOS,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0
95,Docker;Linux;Slack Apps and Integrations,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0
96,Windows,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,AWS;Docker;Heroku;Linux;MacOS;Windows,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0
98,Android;Google Cloud Platform;Raspberry Pi;Windows,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0
99,Linux,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
100,iOS;MacOS,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
101,AWS;Heroku;MacOS,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
102,Linux;Windows,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
103,Microsoft Azure,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
104,Windows,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,Docker,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
106,Windows,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,Android;Docker;Google Cloud Platform;iOS;Linux;MacOS;Raspberry Pi,0,1,0,1,1,1,1,0,1,0,1,0,0,0,0,0
108,Android;AWS;Docker;iOS;Linux;Slack Apps and Integrations;Windows;WordPress,1,1,1,1,1,0,1,1,0,0,0,0,0,1,0,0
109,Android;AWS;Google Cloud Platform;Heroku;iOS;Linux;MacOS;Slack Apps and Integrations,0,1,1,0,1,1,1,0,0,1,1,0,0,1,0,0
110,AWS;MacOS;Windows,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
111,Docker;Windows,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
112,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,AWS;Docker;Slack Apps and Integrations,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0
114,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,Android;AWS;Docker;Google Cloud Platform;IBM Cloud or Watson;Kubernetes;Linux;MacOS,0,0,1,1,1,1,1,0,0,0,1,1,0,0,0,1
116,AWS;Docker;Google Cloud Platform;Linux;Microsoft Azure;Raspberry Pi;Windows;WordPress,1,0,1,1,1,0,0,1,1,0,1,0,0,0,1,0
117,Android;AWS;Docker;iOS;Kubernetes;Linux;MacOS;Microsoft Azure;Windows,1,1,1,1,1,1,1,0,0,0,0,1,0,0,1,0
118,Docker;Google Cloud Platform;Kubernetes;Linux,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0
119,AWS;Docker;Linux;MacOS,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
120,AWS;Docker;Google Cloud Platform;Kubernetes;Linux;MacOS;Slack Apps and Integrations,0,0,1,1,1,1,0,0,0,0,1,1,0,1,0,0
121,AWS;Docker;Linux;Raspberry Pi,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0
122,iOS,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,Docker,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
124,AWS;MacOS,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
125,Google Cloud Platform;Windows,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
126,Microsoft Azure;Windows,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
127,Arduino;AWS;Heroku;MacOS,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0
128,Android;iOS;Microsoft Azure;Raspberry Pi;Windows;WordPress,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0
129,AWS;Docker;Linux;Raspberry Pi;Windows,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0
130,Android;AWS;Docker;iOS,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
131,Arduino;Linux;Windows;WordPress,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
132,AWS;Kubernetes;Linux;Slack Apps and Integrations,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0
133,AWS;MacOS,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
134,Android;Windows,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
135,Windows,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,Android;Docker;iOS;Microsoft Azure;Windows,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0
137,Windows,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
138,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139,Android;Linux,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
140,Microsoft Azure;Windows,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
141,AWS;Docker;Linux,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
142,Android;iOS;Linux;MacOS;WordPress,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0
143,Docker;Google Cloud Platform;Linux;Microsoft Azure;Raspberry Pi;Windows,1,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0
144,Docker;Kubernetes;Linux;Microsoft Azure;Slack Apps and Integrations;Windows,1,0,0,1,1,0,0,0,0,0,0,1,0,1,1,0
145,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
146,AWS,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
147,Linux,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
148,AWS;Docker;Kubernetes;Linux,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0
149,Arduino;Linux;Raspberry Pi;WordPress,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0
150,Docker;Kubernetes;Linux;Raspberry Pi;Windows,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0
151,AWS;Docker;Linux,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
152,AWS;iOS;Linux;MacOS,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
153,Arduino;Docker;iOS;Linux;MacOS;Raspberry Pi;Windows;WordPress,1,1,0,1,1,1,0,1,1,0,0,0,1,0,0,0
154,iOS;Linux,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
155,Microsoft Azure;WordPress,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
156,AWS;Docker;Heroku;Linux;MacOS;Microsoft Azure,0,0,1,1,1,1,0,0,0,1,0,0,0,0,1,0
157,Windows,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
158,Docker;Linux;MacOS;Raspberry Pi;Windows,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0
159,Android;Arduino;Docker;Google Cloud Platform;iOS;Kubernetes;Linux;MacOS;Raspberry Pi;Windows;WordPress,1,1,0,1,1,1,1,1,1,0,1,1,1,0,0,0
160,AWS;Docker;Google Cloud Platform;Linux;MacOS;WordPress,0,0,1,1,1,1,0,1,0,0,1,0,0,0,0,0
161,Microsoft Azure;Windows,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
162,Arduino;Linux;MacOS;Microsoft Azure;Raspberry Pi;Windows,1,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0
163,Android;Docker;Linux,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
164,AWS;Docker;Linux,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
165,AWS;Docker;Linux;MacOS;Raspberry Pi;Windows,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0
166,Docker;Google Cloud Platform;Heroku;iOS;Linux;MacOS;Raspberry Pi;WordPress,0,1,0,1,1,1,0,1,1,1,1,0,0,0,0,0
167,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
168,Android;Arduino;AWS;Docker;Heroku;Linux;Windows,1,0,1,1,1,0,1,0,0,1,0,0,1,0,0,0
169,Android;Windows,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
170,Linux;MacOS;WordPress,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
171,Windows,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
172,Android;Arduino;AWS;Raspberry Pi;Windows,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0
173,Docker;Google Cloud Platform;Heroku;Linux;Windows,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0
174,Linux;Windows,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
175,Android;iOS;Windows,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
176,Android;AWS;Docker;Heroku;Linux;MacOS;Windows,1,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0
177,Android;AWS;Docker;iOS;Kubernetes;Microsoft Azure,0,1,1,1,0,0,1,0,0,0,0,1,0,0,1,0
178,Linux,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
179,Android;Arduino;iOS;Slack Apps and Integrations;WordPress,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0
180,Android;AWS;Docker;Google Cloud Platform;Kubernetes;Linux;MacOS;WordPress,0,0,1,1,1,1,1,1,0,0,1,1,0,0,0,0
181,Windows,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
182,AWS;Docker;Heroku;Linux,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0
183,Docker;IBM Cloud or Watson;Linux;MacOS;Windows,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1
184,Android;Google Cloud Platform;Heroku;Slack Apps and Integrations,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0
185,AWS;Linux;Windows,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
186,Arduino;Linux;Raspberry Pi;Windows;WordPress,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0
187,AWS;Docker;Linux;MacOS,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
188,Android;AWS;Docker;Linux,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0
189,Docker;Linux;MacOS;Slack Apps and Integrations;WordPress,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0
190,Windows,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
191,Android;iOS,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
192,Docker;Linux;Windows;WordPress,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
193,Android;AWS;Docker;Google Cloud Platform;iOS,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0
194,Android;Windows,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
195,Windows,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
196,Docker;Google Cloud Platform;Kubernetes;Linux,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0
197,AWS;Docker,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
198,AWS;Microsoft Azure;Raspberry Pi;Windows,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
199,Android;Arduino;AWS;Docker;iOS;Linux;MacOS,0,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0
200,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201,Linux;Raspberry Pi;Windows,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
202,Arduino;Docker;iOS;Kubernetes;Linux;MacOS;Raspberry Pi,0,1,0,1,1,1,0,0,1,0,0,1,1,0,0,0
203,AWS;Windows,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
204,Android;Arduino;AWS;Heroku;Linux;MacOS;Raspberry Pi;Windows,1,0,1,0,1,1,1,0,1,1,0,0,1,0,0,0
205,AWS;Heroku;MacOS,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
206,Linux,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
207,Linux;Windows,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
208,AWS;Docker;Google Cloud Platform;Linux;Slack Apps and Integrations,0,0,1,1,1,0,0,0,0,0,1,0,0,1,0,0
209,Docker;Kubernetes;MacOS,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
210,AWS;Docker;Heroku;Linux;MacOS,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0
211,Android;Arduino;AWS;Docker;Google Cloud Platform;Heroku;Kubernetes;Linux;Raspberry Pi;Slack Apps and Integrations;Windows;WordPress,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,0
212,Google Cloud Platform;Kubernetes;Linux;Microsoft Azure;Raspberry Pi;Slack Apps and Integrations;Windows,1,0,0,0,1,0,0,0,1,0,1,1,0,1,1,0
213,AWS;Docker,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
214,Docker;Linux;MacOS,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
215,Docker;Kubernetes;Linux;Windows,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0
216,AWS;Docker;Kubernetes;Linux;Microsoft Azure;Slack Apps and Integrations;Windows,1,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0
217,Android;Heroku;Linux;MacOS,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0
218,Windows,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
219,Arduino;Docker;Linux;Microsoft Azure;Windows,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0
220,MacOS;Windows,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
221,AWS;Docker;Linux;MacOS,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
222,Android,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
223,Android;AWS;iOS;Windows,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
224,Android;Arduino;Docker;Google Cloud Platform;Heroku;Microsoft Azure;Raspberry Pi;Windows;WordPress,1,0,0,1,0,0,1,1,1,1,1,0,1,0,1,0
225,Android;Docker;Linux;MacOS;Windows,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0
226,Google Cloud Platform,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
227,AWS;Docker;Kubernetes;Linux;MacOS;Raspberry Pi,0,0,1,1,1,1,0,0,1,0,0,1,0,0,0,0
228,Linux;MacOS,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
229,AWS;Linux;Windows;WordPress,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
230,Android;Windows,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
231,Android;Docker;iOS;Kubernetes;Raspberry Pi;Windows,1,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0
232,Android;AWS;Heroku;Linux;Windows,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0
233,Arduino;Linux;Windows,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
234,Docker;Linux;Windows,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
235,Arduino;AWS;Docker;Linux;Microsoft Azure;Raspberry Pi;Windows,1,0,1,1,1,0,0,0,1,0,0,0,1,0,1,0
236,Arduino;AWS;Docker;Google Cloud Platform;Linux;Raspberry Pi;Windows;WordPress,1,0,1,1,1,0,0,1,1,0,1,0,1,0,0,0
237,Android;AWS;Google Cloud Platform;IBM Cloud or Watson;iOS,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1
238,Windows,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
239,Android;Windows,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
240,AWS;Google Cloud Platform;Heroku;IBM Cloud or Watson,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1
241,Microsoft Azure,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
242,Android;Google Cloud Platform;iOS;MacOS;Windows;WordPress,1,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0
243,Linux;MacOS;Windows,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
244,Docker,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
245,Linux;Windows,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
246,Linux;MacOS;Windows,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
247,AWS;Linux;MacOS;Windows,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
248,AWS;Google Cloud Platform;Microsoft Azure,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
249,Linux;Windows,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
250,iOS,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
251,AWS;Docker;Kubernetes,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
252,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
253,AWS;Docker;Google Cloud Platform;Linux;Microsoft Azure;Windows,1,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0
254,Android;Docker;Linux,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
255,Linux;Windows,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
256,Android;Microsoft Azure;Windows,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
257,Microsoft Azure;Windows,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
258,Arduino;Raspberry Pi;Windows,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
259,Windows,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
260,Docker;Google Cloud Platform;Kubernetes;Linux;MacOS,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0
261,Microsoft Azure;Windows,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
262,Microsoft Azure;WordPress,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
263,Docker;MacOS;Microsoft Azure;Raspberry Pi,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0
264,Android;AWS;Docker;Google Cloud Platform;iOS;MacOS,0,1,1,1,0,1,1,0,0,0,1,0,0,0,0,0
265,Docker;Google Cloud Platform;Heroku;MacOS;WordPress,0,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0
