,username,comment_created_utc,comment_score,comment_text
0,tiberiumx,1648822911.0,155.0,Too bad it's just a joke because I like the dark mode option.
1,budasaurus,1648809609.0,376.0,I like how they tagged it as April fools for those who take it too seriously lol
2,DasEvoli,1648814535.0,140.0,Not gonna lie I actually like the Windows 3.1 Style a lot
3,unordered_set,1648802880.0,128.0,Need more 1995 animated GIFs
4,jugalator,1648812284.0,159.0,I... I like some of those...
5,xeio87,1648826485.0,28.0,Am I the only one dissapointed I don't have any 3D glasses handy?
6,imro,1648816400.0,114.0,Scared the shit out of me last night as I was doing some late night research that let me to stackoverflow and it defaulted to the top secret filter. I thought I inadvertently downloaded some malware.
7,ICodeIGuess,1648828491.0,10.0,And the Facebook filter is actually better than the normal design lol
8,mus1Kk,1648810268.0,18.0,I love it! For some reason the fonts are very unevenly pixellated in most designs (Chrome/Mac). But it was still good for a laugh. :)
9,libertarianets,1648828437.0,6.0,"worst part is this:

\-webkit-font-smoothing: none;

god it's so bad"
10,Tintin_Quarentino,1648818405.0,13.0,"Correct me if I'm wrong, but that ""matrix"" (green text on black) is the only dark mode?

Edit - damn I'm dumb af. I didn't realize this was AF's until after reading the other comments."
11,Worried_Lawfulness43,1648840390.0,9.0,Am I the only one that hates this?
12,calmonad,1648835503.0,3.0,"My employer's proxy is blocking the endpoint to change/disable the themes...
Might as well call it a day."
13,jugglingbalance,1648803647.0,13.0,Stack overflow keeping it 5 by 5 up in here.
14,lorslara2000,1648824326.0,10.0,Damn I was hoping they really introduced something like a way to filter out bullshit answers. But then I realized it would filter out about 98 % of that site's content...
15,Grouchy_Client1335,1648823170.0,2.0,"OK I now I realize it was April's Fools, I didn't connect the dots."
16,bigtdaddy,1648839163.0,2.0,hot dog stand is a banger
17,mikew_reddit,1648841789.0,2.0,Terminal filter (dark mode) is not bad.
18,horreum_construere,1648848421.0,2.0,Top secret is just awesome
19,dunkzone,1648821035.0,6.0,"I got hit by this when I was having a late night learning sesh. I was super wrapped up in what I was working on, having a blast, then I hit this. I know I'm humorless, but I was really annoyed. Or, it could have been that it was 11:30 pm and I didn't realize April Fool's was tomorrow and I was really confused lol."
20,turbo_dude,1648814066.0,2.0,[closes question]
21,yochkdisout,1648821058.0,1.0,fok I thought my monitor was broken for one second
22,superking2,1648821808.0,1.0,If only removing their job board had been the April Fools joke…
23,Edward_Morbius,1648835291.0,1.0,"S/O should install a****** filters.

The only downside is they'd lose a lot of their users"
24,LuckyFeathers,1648807395.0,-29.0,How do I turn this shit off?
25,Arm85,1648804604.0,-49.0,They got rid of jobs.. But still have time for rediculous April fools. Outrageous.
26,jevon,1648844323.0,1.0,I'm so happy hot dog made the cut 😍
27,Hans_of_Death,1648850708.0,1.0,"Accidentally turned on hotdog stand and my eyes were instantly burned out of my skull

it took an embarassingly long time to fix it"
28,nucses,1648851329.0,1.0,r/programminghorror
29,anicetito,1648871957.0,1.0,"The ones I tried look like shit, with those fonts without aliasing"
30,obetu5432,1648909719.0,1.0,"very fucking funny, mr. big company"
31,Archeroe,1648938992.0,1.0,"At first I thought it was just an aggregator listing SO questions but then realized it was a joke. But some of them like the fb one are pretty cool, hope they don't disable all of them."
32,maest,1648816946.0,-6.0,1st April.
33,,1648840704.0,-2.0,[deleted]
34,idkmanporn,1648843008.0,0.0,I thought they were roasting the kids for a moment
35,unmannedidiot1,1648853833.0,0.0,"Ooh it was because of April's fool.

I was already looking for an alternative to stack overflow because I thought that was permanent."
36,Fahrradkette,1648827551.0,113.0,I feel the biggest joke here is that these themes are available for everyone while the regular dark mode requires you to create an account.
37,fecal_brunch,1648866416.0,5.0,"There is already a dark mode, no?"
38,TheKeg,1648863008.0,19.0,have you tried the [dark reader extension](https://darkreader.org/)?
39,Altruistic_Fan_68,1649187757.0,1.0,It's sad that it's a joke because I actually really liked it.
40,-Phinocio,1648825985.0,77.0,"I think more places should do that in general tbh. This one by stackoverflow is kinda on the nose and obvious, but there's been times I've come across things months after the fact that seem legit, but the only indication of it being a joke is the date posted itself (and with timezones, that's not always April 1 for me anyway)."
41,nifty-shitigator,1648812231.0,104.0,Or for those of us who are dumb because we're still waking up :(
42,mattsowa,1648826909.0,6.0,Oh wow i forgor
43,DevonAndChris,1648830990.0,3.0,I really need a filter that stops mods from seeing my questions.
44,rbobby,1648844907.0,-1.0,"I got green on black... which actually bothers my eyes. Bunch of ""just a prank bro"" assholes."
45,KlzXS,1648820463.0,32.0,Yeah. Miss Dos really outdid herself.
46,ChunChunChooChoo,1648824822.0,7.0,"I kinda hope they actually make the Win style a permanent theme, it's really pleasant"
47,knightcrusader,1648822521.0,39.0,"Yeah, the matrix one is easier on my eyes."
48,smiler82,1648835091.0,19.0,I had some but the effect didn't really work :(
49,dream-lotus,1648826178.0,33.0,Yeah it opened up on the 3D for me last night and I thought my laptop dock was bugging out for a minute before I realized it's an April Fool's thing.
50,appsecSme,1648862217.0,2.0,"Yeah, a developer at work posted in our security slack about it, thinking that he had malware."
51,reddifiningkarma,1648825898.0,0.0,"Me too, then i realized they made me turn on javascript for their site... wankers"
52,da_grt_aru,1648826903.0,0.0,Lol
53,tooclosetocall82,1648860468.0,3.0,I was using the Win 3.1 one today until that started bothering me. I figured it was on purpose because font smoothing wasn’t a thing back then.
54,PkmnSayse,1648826967.0,12.0,StackOverflow has a dark mode anyway it’s in your user settings
55,intolerantidiot,1648893627.0,0.0,Yes
56,this_little_dutchie,1648881979.0,4.0,"If your employer is that restrictive, maybe get your ass out of there (I know, easier said than done, but still)"
57,the_malabar_front,1648904325.0,1.0,Talk about overreacting...
58,John_E_Depth,1648827911.0,20.0,"Ah, I see you’re a StackOverflow moderator"
