,username,comment_created_utc,comment_score,comment_text
0,,1463193793.0,49.0,"Yeah, I've been seeing these, too, and wondering where they've been coming from.

I, too, much prefer working in a Linux environment, but I'm always perplexed when I see these ""XYZ is going to own the market!"" posts, because they always are based on some technology, in this case Linux, completely taking over the market in a space where that technology isn't really very hot, in this case (based on the posts lately) corporate desktops and internal application hosts.

But that completely ignores the scope of the technological world and where these things get used.  Personally I don't see many posts from Windows people asserting that nobody uses Linux, although I've been told they're out there.  To believe such a thing, a person would have to be completely ignorant of all the places where Linux is used.  Similarly, when /r/Linux is going on about how Linux is going to Take Over The World just as soon as ""M$"" agrees to support Skype on it, it kind of betrays a misunderstanding that Linux on the desktop, while certainly *possible*, is pretty much entirely beside the point.

As for Microsoft's porting tech to Linux... it seems pretty clear to me that they're going to start trying to position Windows as a platform that's just as available and performant as Linux.  This is a push *into* realms where Linux has dominated.  Now when some startup Dockerizes their whole platform of microservices and starts pushing into the Cloud, Microsoft can come in and say, ""Hey, for pennies more per instance, you can migrate your entire platform -- without modification! -- to Windows, and it'll work just as well except you'll have a multibillion-dollar company behind it.""  That's not ""we're giving up on Windows,"" it's completely the opposite.

Which is all to say that I pretty much agree.  Windows is being maneuvered away from the admin experience it used to be, which looks to a lot of people like ""Windows is dying,"" but I think this is because it's being positioned to become more competitive in an area of IT with which they aren't really cognizant of because it's not what they do.  Which is fine, but it's leading them to the wrong conclusion."
1,,1463222069.0,69.0,"Honestly I think that the 'platform W is better than platform X' and 'company Y is going to die and get overtaken by company Z' arguments are pretty petulant and show some level of inexperience in the industry today. Anyone with an ounce of sense knows that the big hitters aren't going away anytime soon, and that open, platform neutral and interoperable products are the way forward.

In my opinion, a good engineer should know that most products have their place and that a 'right tool for the right job' approach is best. Sometimes it's Linux, sometimes it's Windows and sometimes it's something else."
2,,1463229425.0,16.0,[deleted]
3,,1463232386.0,9.0,"The register had an article a few weeks ago that summed up my feelings for Microsoft pretty well. Now this is knowing full well who delivered my email, authenticated my account, and operates the majority of the servers and desktops in my company.

http://www.theregister.co.uk/2016/05/06/thoughts_on_the_new_microsoft/"
4,Makasuro,1463235758.0,7.0,"Obviously MS isn't going to die out anytime soon.

MS has its place, Linux has its place, even Mac has its place."
5,bakonpie,1463206006.0,10.0,"Well said. I for one am thankful that Microsoft is contributing to the open source community and embracing it. They really do have some awesome technologies now. Nano server, .NET Core, and PowerShell DSC have won over all of the Linux guys I've worked with. Even they all admit things are changing for the better.

Windows Server ain't as shitty as it once was. "
6,thekarmabum,1463233164.0,6.0,"You are 100% right on AD and Exchange, they are almost the standard at this point."
7,archiekane,1463213761.0,12.0,"I've just finished a weeks course on Azure. What MS are doing there is damned amazing. You can pretty much run your whole infrastructure up there. Yes, it costs a fortune, but you pay for the speed and ease. 

You can run everything templated, you can run everything custom builds. You want private subnets with your own shit and it routed to on-prem, no probs. You want PaaS? Sure. Want to mix 'em all up? Okay then. 

It's ridiculously flexible and I'm a Linux guy through and through. They have dedicated spin up dev VMs that you can shut down automagically at X time to save cash and you can choose which power of server with which OS or upload your own VHDs. 

I was on the training with some infrastructure guys from HSBC who said they were already starting to use it and it's knocked months off of their development and infrastructure build times. 

MS aren't going anywhere, they're just changing with the times... finally."
8,meorah,1463193149.0,18.0,"I perused instead of reading every single little word.

I don't have a problem with Microsoft's strategy to adapt.  I have a problem with them thinking they can execute their strategy without missing any development milestones, without adding any significant technical headcount, and by replacing a bunch of middle managers in redmond with a bunch of developers in india.

it's too many moving parts to juggle at one time, and now most of their new products feel like fucking beta products or some half-assed attempt from Mac to break into the enterprise... whiz-bang features to market, patches that constantly break shit and are released whenever the fuck they want to break your shit instead of only breaking your shit once a month, features that don't work properly, product timelines that don't make any fucking sense, and the general sense that ballmer was barely holding the empire that gates built together and now some comp sci grad student in stanford was gifted the microsoft name to leverage his new tech startup.

I'm not saying they're going bankrupt or anything, but everything in the news right now in MS-land is a short-term reaction.  react to AWS, react to Apple, react to Linux, react to the fucking missing Skype Mac client for more than a year that is getting pushed out in 3 phases?  what in the holy fuck bullshit is that?"
9,macjunkie,1463199352.0,8.0,Depends on the company.. My company is MS-Free no windows anywhere in non workstation environment and 0 chance of that changing 
10,ProtoDong,1463233781.0,6.0,"You are right but for the wrong reasons.

**Microsoft won't die out because they still offer the best productivity tools and management infrastructure for those tools.**

I'm a hacker that makes my living both attacking and securing Windows networks 90% of the time.  (Occasionally I have pen-tested data centers that run mostly virtualized Linux instances and they tend to pass with flying colors [although minor fuckups in this space have much greater impact... in general])

**Microsoft has entrenched itself in business culture.**  At this point, vendor lock-in is ubiquitous in almost every medium to large business.

I love Linux... and I love to hate Microsoft.  However, I really don't think anyone on /r/sysadmin is fucking naive enough to think that Microsoft is in any danger of being replaced.  Nobody offers anything even remotely close to a drop-in replacement.... not Linux and certainly not Apple. (but they might consider getting on that)"
11,,1463231764.0,4.0,"Die? No, probably never.

The way I read some of the recent posts that may have come off that way more emphasized that one cannot ignore Linux et al, and sysadmins that do will lose ground. The prevailing attitude I've seen is that non-Microsoft solutions are second rate at best.

This, in spite of the fact that almost every (maybe every?) vendor appliance we run, physical or virtual, runs Linux, and in my vertical (k12), clients are rushing en masse to Chromebooks, Gmail and iOS. In many cases students won't touch Windows/Office again for a long time.

The long prevailing MS monoculture is dying without a doubt. Admins locked in to MS mindshare need to embrace a plural ecosystem. But MS won't die any time soon, for reasons OP stated"
12,bugalou,1463240034.0,2.0,"Well said.  Companies have a lot of Microsoft solutions in their datcenters and things are only going to get better.  I think people take MS's drop in influence in the consumer space with the rise of mobile much too  far and just think Windows is the only measure of success.  MS has some awesome enterprise solutions if your company needs them.  Each industry varies, but mine has a large Microsoft presence as well as Linux, and even some old big iron AS400 solutions kicking.  The mixed environment can be a pain, but it has also made me appreciate and see various strengths of paltforms and to not be a rabid fan boy of any particular solution."
13,Loushius,1463245951.0,2.0,"As someone in the MS world, I am pretty excited. Over the past year and a half I've learned so much about continuous integration and configure management. I've learnt some ruby and used chef, and did a lot of work with Team City and Azure. My powershell skills have also grown greatly because of this. It's really fun times."
14,chipsharp0,1463249169.0,2.0,"Seems like Linux guys have come out of the woodwork this week. Makes me wonder how many legitimately cut their teeth on a pile of floppy disks with a+n packages and how many just read a Wikipedia page and came to play dress-up. 

That said, it's worth looking into, it's an option worth exploring, but it's not the universal cure-all. Moreover, in many cases, it's more hassle than its worth for anything beyond very pedestrian network services. It makes for a good IP PBX in some use cases, and makes for a viable enterprise mail system, but in this, as in all things, there's an evaluation process that should not be taken lightly.  "
15,boot20,1463263769.0,2.0,Anyone in the medical world know that Windows isn't going anywhere and the move the cloud is going to be SLOW and amazingly painful.  
16,,1463293528.0,2.0,"One could only hope.


I believe competition is good for everyone involved. I would never want any os to dominate in the way microsoft has in the past, even linux. I would definitely like to see microsoft kept in check. I can't count how many times they have impeded the growth of linux. 


If karma were to suddenly turn into a real thing i'm willing to bet their offices would spontaneously burst into flames. Microsoft can die in the firey pits of hell for all I care."
17,,1463196410.0,5.0,[deleted]
18,,1463240404.0,2.0,"I don't normally agree with what you say but in this case, I do. If anything I respect you more now for this, personally I love Windows Server, I love it more than the client actually, I use Server 2012 R2 on my laptop and desktop as a workstation OS, it could be a distortion field but they feel faster than when they ran Win10 and 8.1.

I've also recently really focused on expanding my know how outside of just the basics of Windows Admin like right click New > User in AD and shite like that to actually putting time into work on PowerShell to figure out how to automate stuff.

On my VMs I set it so that whether its a Server Core or Full Install the VM will start PowerShell up instead of Explorer and I am loving every single minute of it.

Even submitted an idea to the Uservoice forum to have DFS Replication be available in Nano Server the other week, I should probably check up on that to see if someone has responded.

>AD and Exchange aren't going anywhere, they are flagship products, and super widely used in the Enterprise.

Amen to that, my university used a combination of CentOS and Windows workstations and the backend used Windows servers running AD and Exchange and it just seemed to work perfectly."
19,jimicus,1463258907.0,2.0,"The MS haters invariably miss one very big point.

It really is the elephant in the room, and it's never addressed:

There are places where Linux is better suited.  There are places where it is behind the times - and ""behind the times"" can very easily mean 10-15 years behind the times. 

Many F/OSS advocates refuse to admit these areas exist; whether that's through ignorance (""I don't need to look at SQL Server to know it's inferior!!11oneone"") or denial (""Why would you care about SSRS anyway?!"")."
20,dmikalova,1463243266.0,1.0,Yeah how anyone today could see MS as dying just don't see that they've turned the ship around. It brings me so much internal conflict wanting to see them burn vs seeing them come out with some good stuff nowadays.
21,CalBearFan,1463244001.0,1.0,"Technically Windows, when you add up all the flavors (though I question any Dev on Vista..blech!) is over 50% on those charts you listed. Though Mac+Linux is really surging and getting close to 50% as well."
22,Fridge-Largemeat,1463248411.0,1.0,"So as someone who is working towards the MCSA at this time, and never wants to go back within ten feet of desktop support, what would you recommend as far as educational direction? I've had my eye on a python book, and I've got some reading on powershell to do as well. "
23,kanzenryu,1463292606.0,1.0,So that just leaves the billions of dollars of criminal convictions.
24,,1463354553.0,1.0,"> Native Linux/bash support.

Personally, I believe that this is less about providing something for developers, and more of a way to ultimately provide support for Linux-based Docker packages to run on Windows Server (and in Azure). Having developers test it in a development environment while it is labeled as beta is a great way for them to flush out all of the problems without the fallout of something not working in Server or on Azure. Microsoft has been putting a lot of money into providing support for Docker in Windows for Windows-based packages.

They've been putting more effort into having their products used at multiple levels instead of being forced to use their entire top-down infrastructure. With things like the ""Windows Subsystem for Linux"" (its not *just* bash on Windows, afterall), open-sourcing of .net components, SQL Server being released for Linux, etc, they're moving in a direction of using their applications regardless of platform or their platform regardless of applications.

I'd predict that we'll eventually see more server application products be released for non-Windows platforms. They're starting with SQL Server--which makes more money than their Server OS line. I'd be surprised if Exchange and Active Directory aren't far behind.

The reality is that Microsoft will make more money off of selling CALs or per-user costs for AD in Azure than the initial cost of a Windows Server license. How much of the cost of a Server license is the OS and how much are the services that come with it? They'll just sell the services as services for an appropriate amount.

The bigger move would be if the .net stuff for Linux starts being used by Microsoft to allow UWP applications to run on Linux. They're positioning themselves to be a market for their platform, their applications, their cloud services, their development environment, or any combination of those.

Nadella seems to have accepted the fact that the idea of them holding onto a vertical market is long gone."
25,Windows-Sucks,1477451189.0,1.0,I ditched my craptop and switched to an Android tablet because Windows ruined the hardware.
26,iheartrms,1463203353.0,-3.0,People used to say IBM would never die out and it was inconceivable that Big Blue would ever disappear. And they haven't. They are still around. Those people have been right so far. But IBM has become pretty much irrelevant to anything. Some day Microsoft will be also. They already have noticeably less impact on my life than 10 years ago and much less than they did 20 years ago.
27,,1463240513.0,-1.0,[deleted]
28,dm18,1463244252.0,0.0,"For allot of companies there no good reason to store their directory service locally. Or self host email. While there may be some things that still require local storage; there is no reason that storage can't be just an instance syncing to the cloud. 

For allot of companies AD is no longer the center of their domain. It tend to be some thing in the cloud. It could still be an AD, but allot of the time it isn't. And much of it is being stitched together by SSO and 2-step LDAP. 

They need to catch up and surpass their competitors. "
29,UptownDonkey,1463212702.0,-3.0,Most of what you mention here are examples of Microsoft changing their business model to catch up to where their main competitors were at 5+ years ago. If they can somehow pull it off good for them but it will be difficult when the rest of the industry continues to move forward at a rapid pace. 
30,DoesNotTalkMuch,1463239138.0,-2.0,I always hated bash.  I'd rather see powershell on linux.
31,what-the-hack,1463197538.0,-9.0,"Why the hell is trash like this allowed in this sub? 

What crack pipe do you guys smoke that you think microsoft is somehow how going to die out to warrant a reply with ""Microsoft isn't going to die out"". 

You should try looking outside your RDF.  
"
32,amazeballs_sf,1463240363.0,-4.0,"M$ said that Linux is a ""cancer,"" and they'll do everything in their power to rid the world of this disease."
33,thatrandomaussie,1463242336.0,0.0,this is fantastic new.. my hatred for windows in one reason i stopped learning it.. just in time for me to decide to get back into IT.
34,,1463252591.0,0.0,"I do appreciate and credit you for trying ti moderate your opinion. So I didn't downvote.

Hating on a platform is going to bias your perception of it. As soon as someone says that they ""hate"" something I discredit their opinion.

There is so much to the product line that there is plenty to like and dislike.

Even defending the opinion that MS is gonna die is crediting that opinion as plausible which is silly."
35,itsteve,1463276048.0,0.0,No shit 
36,keftes,1463229967.0,-6.0,No startup uses Microsoft products. And that is the future. Nobody cares whatever large legacy enterprises are using. They are the past of the industry.
37,GNU_Troll,1463230144.0,-8.0,Write about it in your diary. Way too many opinionated meta threads on this sub that don't really identify or solve problems. 
38,MCMXChris,1463242964.0,-1.0,"But...but year of the Linux desktop!

MS isn't going to implode but they may fuck up their image even more at the rate they're going with 10"
39,immerc,1463218158.0,-7.0,"The question is whether they're going to stay in the OS game.  I doubt it, at least when it comes to servers.

The fact that you can run Linux servers on Microsoft's cloud service tells me that it's just a matter of time before they get out of the server business.

They'll probably stick around for a long time in desktops, tablets and maybe phones, switching to something like the Apple model, but for sysadmins, I think it's a matter of time before Windows is no longer a relevant OS for servers.  Still, that matter of time could be another decade or more."
40,Zaphod_B,1463194664.0,14.0,"> As for Microsoft's porting tech to Linux... it seems pretty clear to me that they're going to start trying to position Windows as a platform that's just as available and performant as Linux. This is a push into realms where Linux has dominated. Now when some startup Dockerizes their whole platform of microservices and starts pushing into the Cloud, Microsoft can come in and say, ""Hey, for pennies more per instance, you can migrate your entire platform -- without modification! -- to Windows, and it'll work just as well except you'll have a multibillion-dollar company behind it."" That's not ""we're giving up on Windows,"" it's completely the opposite.

Oh I totally agree.  When MS adapts the open source scaleability and robust automation Linux has matured to, and if their app platform is insanely awesome, they will most definitely find a market in that.  Also it buys them time to improve their back end and rework their business model to offer the migration to the Windows platform like you just wrote.

> Which is all to say that I pretty much agree. Windows is being maneuvered away from the admin experience it used to be, which looks to a lot of people like ""Windows is dying,"" but I think this is because it's being positioned to become more competitive in an area of IT with which they aren't really cognizant of because it's not what they do. Which is fine, but it's leading them to the wrong conclusion.

I know right?  I mean being able to use a CM tool and state machine models to maximize your Windows deployment, scale it, and use PowerShell, Python, hell maybe some of that native bash/Linux support they are tossing in there to automate both server and client side solutions is uncharted territory.   It is going to allow MS admins to do some really cool stuff.  Instead of complaining and denying the change, windows admins should be prepping for this market shift.  


Like I stated, if MS wasn't making these huge shifts we should be worried, the fact that they are is a good sign, or at least a better sign of MS ignoring it.  Novell ignored MS in the 90s and look at where it got Novell."
41,StrangeWill,1463208962.0,5.0,"> Yeah, I've been seeing these, too, and wondering where they've been coming from.

Apparently people that don't run piles of Windows servers to support bullshit software that doesn't support ""da cloud"" or *nix.

The ability to wrangle management away from flashy demos for software that only runs on Windows must be god-tier for some people here."
42,blacksd,1463233005.0,14.0,"I love you. From a sysadmin point of view, but still it's a strong feeling."
43,RevLoveJoy,1463238312.0,8.0,It's a tool. Use the right one for the job.
44,escher123,1463242755.0,3.0,"Exactly, thank you for saying what I was going to say."
45,ISBUchild,1463242907.0,12.0,"I can't accept the ""they're both tools"" thinking when one of those toolchains is wholly owned by one company that has engaged in anti-competitive behavior, costs us more in licensing than the hardware it runs on, and meaningfully restricts customer freedom."
46,,1463246173.0,6.0,"That's right! People said the same things about SGI, Sun, BeOS, Novell... Oh, wait :("
47,girlgerms,1463441326.0,2.0,"I'm against any form of ""religious bias"" in an admin. Use the best tool for the job. Sometimes that's going to be Windows. Sometimes that's going to be a *nix variant. Sometimes it's going to be an appliance or a hosted application.

I'm a Windows admin because that's what I look after - but I am well aware of it's limitations and what it's uses are. I understand that there are things that I would **never** put on a Windows box."
48,,1463234526.0,-16.0,">  show some level of inexperience in the industry today

I've been seeing it for 20 years. 

I've also been saying it for 20 years.

You need just look at the nightmare that is Microsoft licensing to see that it's inferior to Linux. If you don't care about vendor lock-in, if you don't care about being raped in the ass by fucking licensing audits because you're cuck enough to be an Oracle client anyway, then it's not. 

But for the rest of us at large, it's inferior in that respect, and that's a big respect. 

"
49,DonutCopShitLord,1463241934.0,-1.0,"The OP is just happy that MS is porting things over to Linux as if there is always something wrong with Windows if you have to consider it. 

Linux and Windows are just tools. Either you pick the right one or become a tool yourself by making these kinds of posts"
50,andygates2323,1463229704.0,13.0,"Traditionally, you trade off licensing expense against lots more support people customizing stuff.  Which is fine as far as it goes, but in healthcare we're very, *very* conservative about things going wrong because the consequences are worse than just a bad business call."
51,mrjlennon,1463246284.0,4.0,"I don't think you'll get a response. I'm in the same boat - 50,000+ users. There's no way in hell my organization would even consider a full switch to Linux, especially for any user facing system. Linux does have it's place in our environment, but it makes up maybe 5-10%. "
52,,1463236026.0,5.0,"> pants-on-head retarded

That made me laugh. I'll have to remember that saying."
53,Zaphod_B,1463251462.0,2.0,"My Org is over 100k+ employees and we don't run any Windows servers.  Size of your org doesn't matter, what matters is what you invest into tech.  It really starts with replacing Windows tech for cheaper services that are web based, or you might dev some stuff in house (still cheaper than buying mass MS licenses) and once you get away from thick apps, and build solutions that are platform agnostic all of it naturally just runs on Linux.

Is this the right answer for you and your org?  I have no idea, but you do, since you work there and know the Org.  

As for end user platform, that doesn't matter anymore.  In my opinion it can be Mac, Linux or Windows - let the user decide."
