,username,comment_created_utc,comment_score,comment_text
0,MrPapotasVIP,1628027180.0,48.0,"Lmao, it's time to move on to a shitty framework to get paid more, I guess.

Laravel is fucking great. I don't know why it's so underrated in the job market."
1,BeyondLimits99,1628030473.0,11.0,"This has been my experience in Australia.

Junior will pay 50k-65k

Mid 65k to 80k

Senior 80k to 120k.

Manager / team leads will be in the 120k to 160k."
2,phaedrus322,1628028953.0,9.0,"This is complete BS. According to zip recruiter the average salary for a laravel developer is $92,000 a year."
3,_Reasoned,1628034562.0,22.0,Weird. I'm at 125k using laravel. I have been above 100k for the last 5 years. Idk who they surveyed but it doesn't sound anything like my experience or the people I have worked with
4,ghijkgla,1628029736.0,23.0,You need to think about who is filing out the survey. Im sure $29k is a lot of money in a country like India.
5,PM_ME_YOUR_SOCKS_BOY,1628065649.0,6.0,"Don't worry, once PHP is as old as FORTRAN or COBOLT we all get paid a fortune!"
6,dragon-froot,1628028226.0,3.0,"It’s easy for noobs to learn, which dilutes the market with devs who will take shit pay. It’s the best framework I have ever used, and as a threat hunter it tends to be one of the more secure frameworks out there."
7,cateyesarg,1628039998.0,3.0,"Bs, no chance a jQuery frontend job pays in average twice as laravel, this is clearly biased"
8,,1628070978.0,3.0,I make $50-$75 an hour on mainly (complex) Wordpress projects lol
9,Ok_Presentation_7599,1628078326.0,3.0,"This stat may true because even in my own country which is a third world country laravel developers are paid less than their node ruby counterparts. Most of my colleagues change their main stack from laravel to node, go, ruby and they are very happy with their pay rate. I don’t know why but most company in my country change from laravel to Java, Node or ruby or even symfony stack when they are beyond the startup time. Laravel is used in companies for startup stages. I am not bashing laravel. It is a great framework. I am just stating the fact that this stat may be true."
10,_heitoo,1628031206.0,9.0,It’s impossible to get results like this unless pooled respondents for Laravel are like Eastern Europe and India and Rails is mostly US. In reality the wages for these technologies are mostly the same.
11,,1628053456.0,2.0,[deleted]
12,acjshook,1628085944.0,2.0,"My first guess would be that it’s extremely popular lower income countries because of the excellent documentation, low entry barrier and development speed, especially with the advent of Livewire."
13,lyotox,1628092403.0,2.0,"My guess is it's because of the low entry barrier? 
You can install MAMP or whatever is being used these days and Laravel up and running in a couple minutes and if you only know basic PHP you still can make things work — the code might be horrendous, but it'll work.  

Taking Ruby (Rails), for example — you can't just install Ruby and start making an app. It's a much smaller community and you need to go through a few extra steps to start building something."
14,uriahlight,1628060946.0,1.0,Looks like a positive to me and I don't even use Laravel. It's likely a very tainted number anyways since I'm guessing a lot of the lower-paid Laravel positions come from India and Taiwan.
15,cindreta,1628064790.0,1.0,Now we know that most of the devs who answered that survey are Ruby on Rails devs who like Svelte. This is BS. Laravel is great. Anything you are really good at will get you paid well. As long as it does the job
16,proyb2,1628066989.0,1.0,"It can be about 20K USD/yr in Singapore after employee funding. The same amount as PHP developer.

It is interesting when I compare Go language is about twice the salary."
