,username,comment_created_utc,comment_score,comment_text
0,,1587659936.0,12.0,Pick something you enjoy not just for the money. I switched from Dev to DevOps and I'm realizing the hard way that I don't enjoy it.
1,alrightcommadude,1587664378.0,5.0,"Pay progression is about the same. These roles are usually harder to fill, though. They require some adequate level of software development skills in addition to all of the hard to acquire domain experience & knowledge as it relates to DevOps/SRE. (I've been on the interviewing side.)



From my experience, you may have better job security because these roles are hard to fill. During my last recruitment cycle there was a hiring freeze on most of the generic SWE roles but the recruiter mentioned that for DevOps/SRE they were still actively hiring.



But ultimately I'll echo that you should pick something you enjoy."
2,Drauren,1587674789.0,5.0,"It's not necessarily that DevOps/Infrastructure and Ops roles pay more than equivalent SWE roles. It's that the average salaries are higher for those roles since those roles don't really hire juniors to do those specific things, since the domain knowledge to really do it well is so deep. Most jobs postings I've seen for DevOps/Infrastructure and Ops Engineers are mid and senior level."
3,WrastleGuy,1587658853.0,7.0,"Pay is negligible, you're better off picking something you enjoy."
4,SuhDudeGoBlue,1587657255.0,4.0,I don't think there is good data saying it necessarily pays more or less.  It's tough to even compare.  There is a level of elitism among some SDEs/SWEs who think less of the DevOpsy roles.
5,190sl,1587675628.0,4.0,"The cold hard truth is that DevOps/SRE is a less desirable role than Dev. The pay is similar, and companies usually have more trouble filling DevOps/SRE roles than pure dev roles. But this is mainly because most people with a CS background would rather write software than operate it.

People usually end up in these roles because they either didn't meet the hiring bar for a pure dev role and were offered the DevOps role as a consolation prize, or they were young and naive and got duped into thinking that the DevOps job was going to be ""just as interesting as dev"". Either way, they usually try to transfer out after a few years.

In fairness some people really do enjoy DevOps/SRE. For them, it's great. They are paid well, they have lots of perks, and the company basically kisses their ass so they won't quit or transfer into a Dev role.

If your company is offering you a temporary rotation in DevOps, then that's pretty low-risk and may be a good opportunity to test the waters. Otherwise I would be very cautious. The odds are you won't like DevOps, and once you're there, it can be hard to come back."
6,Rizzlestix,1587659310.0,1.0,"Why not learn both and consider yourself a full-stack engineer? FSEs will make more than either of those roles.

Edit: Fixed a mispelled word"
7,Stickybuns11,1587658814.0,-3.0,"Its a thing and its a thing that isn't going away. And it does pay more than the average SWE. That's why its funny to see some young newbs in here diss on DevOps. Its a bit more specialized and highly important to many companies, especially hybrid cloud. 

Your thoughts on it are accurate. Its valuable."
8,throwaway133731,1587669530.0,2.0,Agreed. OP says the most important thing is earning potential so I guess on his deathbed he can find solace in the fact that he made alot of money in his life lmaoo
9,hapachino,1587693463.0,1.0,What do you like and not like about it?
