uid,resp_time,comment,location
u00,2013-03-27 04:09:24,good run full moon tonight,"43.75932116,-72.32890406"
u00,2013-03-25 20:00:15,dressed,"43.70650512,-72.28724623"
u00,2013-03-29 16:04:19,tired,"43.70552422,-72.28767885"
u00,2013-03-27 23:09:18,done,"43.70857479,-72.28435013"
u00,2013-03-28 02:24:47,home joy,"43.70569473,-72.28728308"
u00,2013-03-28 21:08:02,my first went well,"43.70540958,-72.28769817"
u00,2013-03-28 23:03:01,miles rocks,"43.70688502,-72.28755706"
u00,2013-03-29 20:54:03,getting ready for class,"43.70045799,-72.28948963"
u00,2013-03-31 19:14:48,spring,"43.76469967,-72.32249553"
u00,2013-03-31 17:53:08,happy easter world,"43.75914412,-72.32945574"
u00,2013-04-04 00:28:03,good,"43.70708859,-72.28753397"
u00,2013-04-03 03:43:27,behind in my lectures. but good ruin up turnpike,"43.78765379,-72.32242225"
u00,2013-04-05 04:15:04,stuntmen's,"43.70708859,-72.28753397"
u00,2013-04-05 20:37:36,Friday,"43.70708859,-72.28753397"
u00,2013-04-07 01:58:33,Norwich 90s win,"43.70708859,-72.28753397"
u00,2013-04-08 08:08:36,stuff,"43.78764103,-72.32252081"
u00,2013-04-09 22:43:48,sql,"43.70664656,-72.28802135"
u00,2013-04-23 03:40:02,no eshan,"43.70662332,-72.28742773"
u00,2013-05-21 16:34:41,checking,"43.70625307,-72.28700801"
u01,2013-03-27 20:46:37,La!,"43.70476772,-72.28958601"
u01,2013-03-29 20:31:09,Thank god the weekend is finally here...,"43.70345534,-72.28941129"
u01,2013-04-01 20:16:25,Overslept engs and cs today,"43.70510553,-72.29032599"
u01,2013-04-08 19:24:11,Missed first two classes again...,"43.70542081,-72.29035437"
u01,2013-04-12 20:28:41,Wtf. It's hailing in April!,"43.70695338,-72.28895926"
u01,2013-04-18 20:56:47,Ugh. Crappy weather today. I hate rainy weather,"43.70697801,-72.28665942"
u01,2013-04-19 00:34:25,Weather,"43.70398333,-72.28953576"
u01,2013-04-19 01:48:21,Flying kites. Oh yeah!,"43.70337177,-72.28854999"
u01,2013-04-20 06:45:45,Hooray! It's the weekend! And I've got an ems shift!,"43.70700605,-72.28906778"
u01,2013-04-21 02:00:22,Day one of light hang complete!,"43.7067725,-72.28919025"
u01,2013-04-24 04:15:31,Wtf? Classes are canceled?,"43.7013269,-72.28804199"
u02,2013-03-27 20:08:09,my classes,"43.70834437,-72.28451848"
u03,2013-03-27 18:47:57,,"43.70525296,-72.28308162"
u03,2013-03-27 18:47:54,,"43.70548221,-72.28324167"
u03,2013-04-24 01:00:31,screw all the assignments!,"43.70533762,-72.28346398"
u04,2013-03-27 04:41:28,research,"43.70200674,-72.28525688"
u04,2013-03-27 06:50:32,get going,"43.70420195,-72.28682651"
u04,2013-03-27 20:05:47,need to get going,"43.70405539,-72.28561903"
u04,2013-03-27 15:51:20,parsing strings,"43.70253824,-72.28976264"
u04,2013-03-28 20:00:52,coffee,"43.70437389,-72.28688493"
u04,2013-03-29 16:03:41,phone fell out of pocket. found it,"43.70331081,-72.28734177"
u04,2013-03-28 20:48:36,swipe text cool,"43.70437389,-72.28688493"
u04,2013-04-04 15:37:31,race this weekend,"43.70500049,-72.28555637"
u04,2013-04-07 00:22:25,racing. focused,"43.70419632,-72.28592597"
u04,2013-04-07 16:49:39,coding and lab,"43.70400146,-72.28561947"
u04,2013-04-08 04:19:47,ate too much. too full,Unknown
u04,2013-04-08 19:12:14,data mining,"43.70635395,-72.28656244"
u04,2013-04-08 19:26:55,forgot to log food. again,"43.70636029,-72.28663457"
u04,2013-04-09 02:34:30,stomach ache,"43.70602337,-72.2947901"
u04,2013-04-15 23:04:36,feel good but so much work,"43.70417639,-72.28716427"
u04,2013-04-12 02:05:33,Harvard,"43.70589354,-72.29523217"
u04,2013-04-11 23:25:52,"food, race, research","43.70417131,-72.28591047"
u04,2013-04-13 20:12:27,getting fast,Unknown
u04,2013-04-14 05:29:31,homework,"43.70346867,-72.28554377"
u05,2013-03-27 18:35:01,Getting caught up,"43.70751491,-72.28694759"
u05,2013-03-27 20:11:15,learning some cool stuff,"43.70751491,-72.28694759"
u07,2013-03-27 06:27:20,just watched a movie!!!,"43.70474051,-72.2893123"
u07,2013-03-27 09:17:03,bedtime,"43.70377054,-72.28419329"
u07,2013-03-27 08:15:55,skyping my girlfriend,"43.70287825,-72.28818009"
u07,2013-03-27 20:38:40,fencing ...,"43.7040066,-72.28391899"
u07,2013-03-29 02:20:40,finished practice,"43.70257385,-72.28793151"
u07,2013-03-28 03:21:11,Just took a nice long shower,"43.70264862,-72.28480239"
u07,2013-03-30 03:36:08,just finished practice,"43.70166036,-72.28814555"
u07,2013-04-14 03:24:33,Been working for  a Long time,"43.7038195,-72.28390035"
u07,2013-04-24 02:58:18,No class? Jokes.,"43.70389416,-72.2837747"
u08,2013-04-01 01:38:47,cs homework,"43.70316589,-72.2862713"
u08,2013-04-01 16:50:33,cs,"43.70326445,-72.28627025"
u08,2013-03-27 03:15:36,homework,Unknown
u08,2013-03-27 06:15:06,cs code,Unknown
u08,2013-03-27 21:08:35,cs hw,"43.70227295,-72.28989198"
u08,2013-03-27 21:08:39,,"43.70227295,-72.28989198"
u08,2013-03-28 02:42:10,meeting,"43.70528743,-72.29155419"
u08,2013-03-28 07:57:14,cs code project and homework,"43.70528743,-72.29155419"
u08,2013-03-28 21:18:46,cs,"43.70582719,-72.28937924"
u08,2013-03-29 17:43:09,cs homework,"43.70350954,-72.28608081"
u08,2013-03-31 02:52:53,hobbit,"43.70350954,-72.28608081"
u08,2013-03-30 20:38:13,cs honework,"43.70350954,-72.28608081"
u08,2013-04-03 02:31:18,cs,"43.70237031,-72.28787598"
u08,2013-04-03 17:38:11,class,"43.70237031,-72.28787598"
u08,2013-04-02 03:17:40,exercise,"43.70291844,-72.28747058"
u08,2013-04-01 20:30:41,going to bank,"43.70571772,-72.29156713"
u08,2013-04-04 19:46:05,vs hwk,"43.70301411,-72.28619057"
u08,2013-04-06 01:32:51,computer science homework,"43.70410077,-72.28719868"
u08,2013-04-07 01:27:35,paintball,"43.04906525,-71.72455068"
u08,2013-04-07 03:55:40,party,"43.70376214,-72.28616855"
u08,2013-04-08 02:54:58,cs 65 homework,"43.70278047,-72.28749202"
u08,2013-04-10 10:33:47,cs homework,"43.70731779,-72.2868045"
u08,2013-04-11 03:37:43,toothache,"43.70370174,-72.28680811"
u08,2013-04-13 11:34:33,cs 65 lab,"43.70385469,-72.28643647"
u08,2013-04-17 03:57:03,cs 89,"43.70691883,-72.28761119"
u08,2013-04-12 02:20:36,cs 89,"43.70314121,-72.28659035"
u08,2013-04-14 05:39:25,cs 65,"43.70360138,-72.28652466"
u08,2013-04-16 04:12:27,cs 89,"43.70396504,-72.28927469"
u08,2013-04-18 06:05:38,cs,"43.70430223,-72.29046297"
u08,2013-04-20 20:19:54,cs 65,"43.70518194,-72.28800233"
u08,2013-04-21 20:19:51,cs proj,"43.70406215,-72.28755806"
u08,2013-04-23 06:28:56,so much cs work,"43.7052687,-72.28811786"
u08,2013-04-23 23:01:07,trouble,"43.7038645,-72.28668687"
u08,2013-04-25 21:55:50,cs,"43.70343829,-72.28645877"
u08,2013-05-01 21:55:40,energy website,"43.70708811,-72.28767562"
u08,2013-05-05 09:20:33,cs,"43.7037094,-72.28660102"
u08,2013-05-07 03:52:19,jpeg co.pression,"43.7049437,-72.28880281"
u10,2013-03-30 02:07:50,first week of the term and I'm already stressed. bad idea to take 2cs courses,"43.70644884,-72.28820168"
u10,2013-03-27 23:46:46,hate installing new software without instructions,"43.7063889,-72.28636544"
u12,2013-03-29 21:34:11,"Friday""","43.70977927,-72.28303993"
u12,2013-03-29 21:34:18,"Friday""","43.70977927,-72.28303993"
u12,2013-04-02 16:25:36,ready for school,"43.63734709,-72.24846373"
u12,2013-04-03 17:27:05,get to class on time,"43.63766483,-72.2485018"
u14,2013-03-29 19:22:13,having fun with friends,"43.70509271,-72.28680761"
u14,2013-03-29 23:36:48,entertaining my friend,"43.70468907,-72.28757152"
u14,2013-04-09 09:08:01,finishing homework,"43.70477259,-72.28698419"
u14,2013-04-09 21:52:51,trying to finish work,"43.70574434,-72.28750667"
u14,2013-04-10 22:04:52,trying to brainstorm,"43.70583044,-72.28799584"
u14,2013-04-24 17:17:56,class canceled,"43.7048191,-72.2868582"
u14,2013-04-27 23:05:26,girlfriend,Unknown
u16,2013-03-27 20:02:00,cs 65,"43.70279154,-72.29020511"
u16,2013-04-03 22:02:42,lab 1,"43.70450379,-72.28884561"
u16,2013-04-05 23:34:01,cheese and cider,"43.7037992,-72.29079052"
u16,2013-04-07 21:10:34,homework,"43.70362252,-72.29130382"
u16,2013-04-08 00:04:22,svn,"43.70638642,-72.28846824"
u16,2013-04-08 23:04:22,svn,"43.7040162,-72.29110655"
u16,2013-04-09 21:59:46,balancing work and class,"43.70308789,-72.29000556"
u16,2013-04-15 06:38:50,homework and classes,"43.70350683,-72.28981599"
u16,2013-04-18 20:44:09,prospies,"43.70378332,-72.29056908"
u16,2013-04-20 16:47:41,homework,"43.70381863,-72.2910568"
u16,2013-04-21 20:40:14,I am feeling overwhelmed,"43.70379379,-72.29137476"
u16,2013-04-23 22:06:33,relaxing,"43.70299464,-72.2902466"
u16,2013-04-23 16:19:23,jobs and funding,"43.70373954,-72.29185672"
u16,2013-04-26 22:43:12,I have not been taught anything for this lab,"43.70383449,-72.29122954"
u16,2013-04-26 20:06:32,Campbell being unfair,"43.70381392,-72.29084126"
u16,2013-05-11 16:36:32,balancing work and fun,"43.70317722,-72.28939878"
u16,2013-05-04 00:42:32,life,"43.70373825,-72.29018574"
u16,2013-05-06 05:28:26,my crashing computer,"43.70369577,-72.29064258"
u16,2013-05-07 17:48:29,sleep,"43.70534496,-72.29049134"
u16,2013-05-23 01:45:49,work,"43.70688262,-72.28760657"
u16,2013-05-30 02:29:56,annoyed at Prof Campbell,"43.68753666,-72.29250241"
u17,2013-03-27 20:54:41,projecting a lot of work for term,"43.70605071,-72.28863023"
u17,2013-04-09 05:54:28,greenways science day and tesla,"43.70512967,-72.28920458"
u17,2013-04-19 02:34:13,dimensions events,"43.70237732,-72.28914013"
u17,2013-04-29 04:30:40,forensics,Unknown
u18,2013-03-27 20:32:49,confused about classds,"43.70327352,-72.28957388"
u18,2013-03-30 22:12:03,nice weather,"43.70728041,-72.28918783"
u18,2013-04-08 04:11:07,I've been really lazy,"43.70730177,-72.28915579"
u18,2013-04-05 18:13:15,sleepy,"43.70605791,-72.28694024"
u18,2013-04-08 04:11:18,,"43.70730177,-72.28915579"
u18,2013-04-08 04:11:20,,"43.70730177,-72.28915579"
u18,2013-04-19 03:23:13,I hate people,"43.70264346,-72.28707"
u19,2013-03-27 20:26:19,a little bit confused about life,"43.70690704,-72.28632015"
u19,2013-03-28 06:36:57,a feeling of emptiness,"43.70024816,-72.29095179"
u19,2013-04-02 23:03:20,impending doom. that looming feeling in cs courses,Unknown
u19,2013-04-03 06:44:39,frustrated at this group,"43.7025871,-72.2895324"
u19,2013-04-04 23:31:23,feeling sick,"43.70577175,-72.28809302"
u19,2013-04-08 08:33:09,cs50 destroyed me,"43.7067029,-72.28540419"
u19,2013-04-19 07:08:01,"providers, pointers, revolvers loaders","43.70734975,-72.28629956"
u19,2013-04-21 08:12:45,preparing for a long day tomorrow,"43.7067391,-72.28556913"
u19,2013-04-21 08:12:53,I love frisbee,"43.7067391,-72.28556913"
u19,2013-04-23 07:43:47,finally time to sleep!!!!,"43.70705944,-72.28563764"
u19,2013-04-29 02:46:51,loneliness is a cruel thing,"43.70670747,-72.28550624"
u19,2013-05-01 09:27:25,finally done with crawling and running!!!,"43.70101204,-72.28677708"
u19,2013-05-12 09:05:32,weeeee alpha theta formal,"43.70701211,-72.28611727"
u19,2013-05-03 18:51:11,machine learning is so cool!,"43.70690988,-72.28699822"
u19,2013-05-05 07:52:40,I hope I play better at regionals tmrw,"43.70691192,-72.28587513"
u19,2013-05-04 02:48:33,regionals!!!! Frisbee yeah!,"43.70705362,-72.28594706"
u19,2013-05-05 07:53:00,believe in who you are. be confident!!,"43.70691192,-72.28587513"
u19,2013-05-06 07:30:40,a blizzard of emotions,"43.70706627,-72.28596306"
u19,2013-05-14 08:14:38,what is the amazing project??,"43.70650157,-72.28532126"
u19,2013-05-18 03:58:18,I hate this,"43.70161344,-72.28714129"
u19,2013-05-19 21:53:24,amazing project let's go!!,"43.70669977,-72.28545979"
u19,2013-05-18 00:02:58,so tired and this is boring,"43.70161344,-72.28714129"
u19,2013-05-20 08:27:53,le bun bun is so funny,"43.70754131,-72.28597491"
u19,2013-05-20 21:12:15,2d array memory allocation,"43.70708213,-72.2859049"
u19,2013-05-21 09:11:10,I should sleep,"43.70712264,-72.28701115"
u19,2013-05-23 07:44:58,why you mazes no work?,"43.70693856,-72.28579217"
u19,2013-05-22 08:09:34,time to get our act together for study buddy,"43.7040776,-72.29042456"
u19,2013-05-29 18:33:04,finally done with 13S,"43.70689977,-72.28714289"
u19,2013-05-25 08:22:30,so frustrated...,"43.70744109,-72.28667853"
u19,2013-05-31 07:11:21,its finally done,"43.70696465,-72.28583899"
u19,2013-05-26 09:51:26,so much programming to do,"43.70709334,-72.28524117"
u19,2013-06-01 00:49:41,sleep on sleep on sleep,"43.70704382,-72.28594456"
u20,2013-03-27 23:02:29,great,Unknown
u20,2013-03-29 05:55:10,not bad,Unknown
u20,2013-04-03 18:03:21,Outstanding,"43.70544017,-72.28294543"
u20,2013-04-04 19:05:03,Catch a cold!,"43.70534345,-72.28298988"
u20,2013-04-06 06:06:25,fever and fever,"43.70547218,-72.28253705"
u20,2013-04-05 19:36:14,badly sick fever,"43.70560257,-72.28312535"
u22,2013-03-30 04:41:14,:(,"43.70424862,-72.29040642"
u22,2013-03-27 07:35:32,I like this phone,"43.70665178,-72.28678516"
u22,2013-03-27 17:46:33,feeling kind of sleepy,"43.70456816,-72.2898437"
u22,2013-03-28 10:00:44,coded a lot,"43.70256935,-72.28790785"
u22,2013-03-28 03:07:13,getting work done,"43.70257791,-72.28792984"
u22,2013-03-28 22:45:42,need to work,"43.70399272,-72.29051569"
u22,2013-03-29 19:04:32,working hard,"43.70414927,-72.29076226"
u22,2013-03-31 02:40:52,feeling sad,"43.70411722,-72.29047127"
u22,2013-03-30 00:21:16,about to interview!,"43.7086476,-72.28468996"
u22,2013-03-31 10:15:29,tired,"43.70411722,-72.29047127"
u22,2013-03-31 21:45:31,food is good,"43.70305331,-72.29086377"
u22,2013-03-31 20:33:17,I feel much better,"43.70357146,-72.29017646"
u22,2013-04-01 08:46:08,coded a lot today,"43.70397877,-72.29023959"
